costo,presupuesto,tiempo_invertido,actividad,momento
339,500,30,2,1
198,200,10,2,1
83,100,10,2,1
283,500,5,6,1
88,100,25,0,2
58,100,25,0,2
835,1000,20,1,2
900,1000,60,1,1
500,500,20,3,1
80,100,20,0,1
20,20,1,3,1
25,25,5,0,1
638,638,90,1,1
129,200,30,4,2
202,500,45,0,2
20,50,15,0,2
638,638,60,1,1
58,100,18,0,2
638,638,60,1,1
149,150,5,4,2
300,500,120,0,1
46,10,30,0,2
400,500,10,4,2
82,100,60,4,2
65,100,5,0,2
282,500,60,0,2
25,50,8,0,0
400,500,15,3,1
638,638,90,1,1
792,1000,3,2,2
638,1000,60,1,1
500,500,60,0,2
35,35,10,0,2
50,50,60,0,2
195,200,60,0,2
638,638,60,1,1
310,310,60,1,1
80,100,10,3,1
24,24,10,3,2
60,60,10,0,0
189,189,45,0,0
125,300,300,4,2
638,638,60,1,1
900,1000,90,1,1
38,50,20,3,1
170,200,60,0,2
400,400,15,3,1
300,300,60,0,2
241,500,45,0,1
69,100,15,0,1
638,638,60,1,1
70,70,20,3,0
25,25,30,0,0
638,638,60,1,1
38,50,15,3,1
800,800,60,0,2
79,100,15,0,0
39,39,1,4,0
200,200,15,3,1
300,300,60,0,1
80,80,30,0,1
500,500,120,0,1
200,200,15,0,2
250,500,60,0,1
102,102,30,0,1
215,300,60,0,2
113,120,20,0,1
25,50,10,3,1
638,638,60,1,1
120,120,1,4,1
50,50,5,4,1
350,350,60,0,0
50,50,60,0,1
30,30,10,0,0
19,20,10,3,2
638,638,60,1,1
42,50,10,0,2
350,500,120,0,2
20,50,5,0,1
20,20,10,0,0
700,700,20,4,1
68,100,10,0,2
28,28,10,0,1
500,500,60,0,0
72,100,20,0,0
30,30,15,0,2
65,100,15,0,2
300,300,20,3,1
638,638,60,1,1
128,128,1,4,1
500,500,45,0,2
40,50,10,0,0
360,500,60,0,2
99,100,1,4,1
260,500,60,0,1
341,500,120,0,2
38,50,10,0,1
45,45,3,4,1
25,25,15,3,2
120,200,60,0,2
295,300,60,0,0
360,360,180,4,2
39,50,5,4,0
248,500,60,0,2
799,100,12,6,1
100,100,5,3,2
40,50,5,3,1
160,160,60,0,2
1216,1216,60,0,1
36,50,10,0,2
70,100,60,0,2
240,500,75,0,2
39,39,1,4,0
169,200,10,0,2
250,400,60,0,0
120,120,20,0,2
82,100,10,0,2
35,35,15,0,0
600,600,10,6,2
106,120,60,0,1
400,400,10,3,0
500,500,10,6,1
36,36,10,0,1
40,40,15,0,1
500,500,20,3,1
220,220,60,0,2
30,30,15,0,2
1500,1500,60,6,2
20,20,5,3,2
36,50,5,0,0
175,200,60,0,2
240,500,60,0,2
557,557,30,0,2
119,200,15,0,1
100,100,60,2,1
46,50,15,0,1
284,500,60,0,0
372,372,5,4,0
